127.0.0.1 - - [22/Jan/2019:13:43:45 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Jan/2019:13:43:50 +0800] "GET /gxhy/main.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jan/2019:13:43:50 +0800] "GET /gxhy/login/login.html HTTP/1.1" 200 4134
0:0:0:0:0:0:0:1 - - [22/Jan/2019:13:43:50 +0800] "GET /gxhy/login/css/admin.css HTTP/1.1" 200 21048
0:0:0:0:0:0:0:1 - - [22/Jan/2019:13:43:50 +0800] "GET /gxhy/login/css/login.css HTTP/1.1" 200 5652
0:0:0:0:0:0:0:1 - - [22/Jan/2019:13:43:50 +0800] "GET /gxhy/common/layui/css/layui.css HTTP/1.1" 200 86018
0:0:0:0:0:0:0:1 - - [22/Jan/2019:13:43:50 +0800] "GET /gxhy/common/layui/layui.js HTTP/1.1" 200 6667
0:0:0:0:0:0:0:1 - - [22/Jan/2019:13:43:50 +0800] "GET /gxhy/login/images/hzz-wechat.jpg HTTP/1.1" 200 26851
0:0:0:0:0:0:0:1 - - [22/Jan/2019:13:43:50 +0800] "GET /gxhy/login/login.js HTTP/1.1" 200 2189
0:0:0:0:0:0:0:1 - - [22/Jan/2019:13:43:50 +0800] "GET /gxhy/common/layui/lay/modules/layer.js HTTP/1.1" 200 22041
0:0:0:0:0:0:0:1 - - [22/Jan/2019:13:43:50 +0800] "GET /gxhy/login/images/hzz-app.jpg HTTP/1.1" 200 66418
0:0:0:0:0:0:0:1 - - [22/Jan/2019:13:43:50 +0800] "GET /gxhy/login/images/login-hzz.jpg HTTP/1.1" 200 1277392
0:0:0:0:0:0:0:1 - - [22/Jan/2019:13:43:50 +0800] "GET /gxhy/common/layui/font/iconfont.woff?v=240 HTTP/1.1" 200 26744
0:0:0:0:0:0:0:1 - - [22/Jan/2019:13:43:50 +0800] "GET /gxhy/login/images/logo-app.png HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [22/Jan/2019:13:43:50 +0800] "GET /gxhy/login/images/logo-wechat.png HTTP/1.1" 200 4335
0:0:0:0:0:0:0:1 - - [22/Jan/2019:13:43:50 +0800] "GET /gxhy/common/layui/lay/modules/jquery.js HTTP/1.1" 200 97648
0:0:0:0:0:0:0:1 - - [22/Jan/2019:13:43:50 +0800] "GET /gxhy/common/layui/css/modules/layer/default/layer.css?v=3.1.1 HTTP/1.1" 200 16646
0:0:0:0:0:0:0:1 - - [22/Jan/2019:13:43:51 +0800] "GET /gxhy/common/layui/lay/modules/form.js HTTP/1.1" 200 9259
0:0:0:0:0:0:0:1 - - [22/Jan/2019:13:43:51 +0800] "GET /gxhy/base/login/getVerifyCodeImage HTTP/1.1" 200 1644
